categorie;table;libelle;chemin
"AUTRE";"DA_PRA_R";"Données Administratives des Praticiens pour le SNIIRAM";"Kwikly/AUTRE/DA_PRA_R.html"
"AUTRE";"IR_ACS_R";"Affiliés Aide Complémentaire Santé";"Kwikly/AUTRE/IR_ACS_R.html"
"AUTRE";"IR_ACS_R_ARC";"";"Kwikly/AUTRE/IR_ACS_R_ARC.html"
"AUTRE";"IR_BEN_R";"Référentiel Bénéficiaire";"Kwikly/AUTRE/IR_BEN_R.html"
"AUTRE";"IR_BEN_R_ARC";"Archive Référentiel Bénéficiaire";"Kwikly/AUTRE/IR_BEN_R_ARC.html"
"AUTRE";"IR_ETM_R";"Référentiel des bénéficiaires bénéficiant de l¿exonération du ticket modérateur";"Kwikly/AUTRE/IR_ETM_R.html"
"AUTRE";"IR_IBA_R";"";"Kwikly/AUTRE/IR_IBA_R.html"
"AUTRE";"IR_IMB_R";"Informations Médicalisées Bénéficiaire";"Kwikly/AUTRE/IR_IMB_R.html"
"AUTRE";"IR_MAT_R";"Référentiel des bénéficiaires liés à une maternité";"Kwikly/AUTRE/IR_MAT_R.html"
"AUTRE";"IR_MTT_R";"Référentiel des medecins traitants";"Kwikly/AUTRE/IR_MTT_R.html"
"AUTRE";"IR_ORC_R";"Affiliés Organisme Complémentaire";"Kwikly/AUTRE/IR_ORC_R.html"
"AUTRE";"IR_ORC_R_ARC";"";"Kwikly/AUTRE/IR_ORC_R_ARC.html"
"AUTRE";"IR_PHA_R";"";"Kwikly/AUTRE/IR_PHA_R.html"
"CARTOGRAPHIE";"CRTO_CT_DEP_GN_AAAA";"";"Kwikly/CARTOGRAPHIE/CRTO_CT_DEP_GN_AAAA.html"
"CARTOGRAPHIE";"CRTO_CT_IDE_GN";"";"Kwikly/CARTOGRAPHIE/CRTO_CT_IDE_GN.html"
"CARTOGRAPHIE";"CRTO_CT_IDE_GN_AAAA";"";"Kwikly/CARTOGRAPHIE/CRTO_CT_IDE_GN_AAAA.html"
"CARTOGRAPHIE";"CRTO_CT_IND_GN_AAAA";"";"Kwikly/CARTOGRAPHIE/CRTO_CT_IND_GN_AAAA.html"
"CARTOGRAPHIE";"CRTO_CT_RES_GN_AAAA";"";"Kwikly/CARTOGRAPHIE/CRTO_CT_RES_GN_AAAA.html"
"CAUSE_DECES";"KI_CCI_R";"";"Kwikly/CAUSE_DECES/KI_CCI_R.html"
"CAUSE_DECES";"KI_ECD_R";"";"Kwikly/CAUSE_DECES/KI_ECD_R.html"
"DCIR";"ER_ANO_F";"Anomalie (Signalement ou Rejet)";"Kwikly/DCIR/ER_ANO_F.html"
