dossier	nomenclature	libelle	colonnes	colonne_code	colonne_libelle	taille_ko	valeurs_embarquees
ORAREF	CSARR	Catalogue spécifique des actes de rééducation et réadaptaion (prise en charge SSR)	csarr_code,libelle,gestes_complementaires,modulateurs	csarr_code	libelle	73	non
ORAREF	IR_ACT_COD	Lettre clé du Code Ngap	ACT_COD,ACT_COD_LIB	ACT_COD	ACT_COD_LIB	17	oui
ORAREF	IR_BIO_R	Nomenclature des actes médicales de biologie	BIO_PRS_IDE,BIO_INF_LIB,BIO_CRE_DAT,BIO_SUP_DAT,BIO_ARB_CHA,BIO_ARB_SC1,BIO_ARB_SC2,BIO_ARB_SC3,BIO_ARB_SC4,BIO_ARB_BAS,BIO_PHY_GRP,BIO_GRP_LIB,BIO_HIS_DTD,BIO_HIS_DTF,BIO_ENP_TOP,BIO_TUX_TOP,BIO_MAX_EXE,BIO_SPE_REG,BIO_MAX_REG,BIO_MED_REF,BIO_RES_TOP,BIO_BIO_INV,BIO_SNG_TOP,BIO_TAR_NAT,BIO_TAR_COF	BIO_PRS_IDE	BIO_INF_LIB	192	non
ORAREF	IR_BTF_R	Nomenclature des coefficients actes affinés en biologie	BTF_PRS_IDE,BTF_HIS_DTD,BTF_TAR_NAT,BTF_HIS_DTF,BTF_TAR_COF	BTF_PRS_IDE	BTF_HIS_DTD	120	non
ORAREF	IR_BVR_R		VER_TRT_DAT,VER_TRT_NRO,VER_TRT_VRS	VER_TRT_DAT		1	oui
ORAREF	IR_CCP_R		ETB_FIN_NUM,ETB_FIN_CLE,ORG_GRG_COD,ORG_CAI_NUM	ETB_FIN_NUM		33	oui
ORAREF	IR_CMA_R		GMT_CMA_COD,GMT_CMA_LIB,GMT_CMA_DTD,GMT_CMA_DTF	GMT_CMA_COD	GMT_CMA_LIB	1	oui
ORAREF	IR_EPH_R		EPH_COD,EPH_LIB	EPH_COD	EPH_LIB	39	oui
ORAREF	IR_FLP_R		FLX_DIS_DTD,FLX_EMT_TYP,FLX_EMT_NUM,FLX_ANN_MOI,FLX_DTE_ANN,FLX_DTE_MOI	FLX_DIS_DTD		331	non
ORAREF	IR_GMT_R		ETB_GMT_NUM,ETB_GMT_LIB,GMT_SEC_NUM,GMT_CRE_DTE,GMT_FIN_DTE,GMT_DZ1_NBJ,GMT_FZ1_NBJ,GMT_ZF1_TRF,GMT_DZ2_NBJ,GMT_FZ2_NBJ,GMT_ZF2_TRF,GMT_DZ3_NBJ,GMT_FZ3_NBJ,GMT_ZF3_TRF,GMT_ZBA_TRF,GMT_SJC_NBJ,GMT_SJC_CMN,GMT_SZB_TRF,GMT_FZH_NBJ,GMT_SZH_TRF,GMT_SEH_TRF,GMT_FFA_NBJ,GMT_CUM_TOP,GMT_FJH_TOP,GMT_ASU_LST,GMT_SFJ_LST,GMT_MIN_AGE,GMT_MAX_AGE,GMT_CMA_NUM,GMT_DAC_COD,GMT_ARR_DTE,GMT_PJO_DTE,GMT_MAJ_DTE	GMT_DAC_COD	ETB_GMT_LIB	3636	non
