produit	table	libelle	cle_primaire	nb_variables	debut	fin	absente	observation
CARTOGRAPHIE_PATHOLOGIES	CRTO_CT_DEP_G12_AAAA	Table dépenses de la cartographie des pathologies pour l'année AAAA et l'algorithme G12	BEN_IDT_ANO	106	2015			
CARTOGRAPHIE_PATHOLOGIES	CRTO_CT_IDE_G12_AAAA	Table individus de la cartographie des pathologies pour l'année AAAA et l'algorithme G12	BEN_IDT_ANO	3	2015			
CARTOGRAPHIE_PATHOLOGIES	CRTO_CT_IND_G12_AAAA	Table pathologies de la cartographie des pathologies pour l'année AAAA et l'algorithme G12	BEN_IDT_ANO	319	2015			
CARTOGRAPHIE_PATHOLOGIES	CRTO_CT_RES_G12_AAAA	Table informations contextuelles relatives au lieu de résidence des patients de l'année AAAA et l'algorithme G12	BEN_IDT_ANO	83	2015			
Causes de décès	KI_CCI_R	Table des circonstances et de la cause initiale du décès	DCD_IDT_ENC	60	2006			
Causes de décès	KI_ECD_R	Table de l’ensemble des causes de décès	DCD_IDT_ENC,CER_LIG_NUM,ECD_CAU_RNG	12	2006			
DCIR	ER_ANO_F	Anomalie (signalement ou rejet lié à un contrôle)	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF	17	2006			
DCIR	ER_ARO_F	Autre remboursement que Régime Obligatoire : (partie complémentaire CMU-C, FNASS, Alsace Moselle…)	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,ARO_ORD_NUM	26	2006			
DCIR	ER_BIO_F	Prestations affinées BIOLOGIE	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,BIO_ORD_NUM	13	2006			
DCIR	ER_CAM_F	Codage CCAM	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,CAM_ORD_NUM	36	2006			
DCIR	ER_CPT_F	Données comptables	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF	21				
DCIR	ER_DCT_F	DECOMPTES	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM	24	2006			
DCIR	ER_DTR_F	Prestations affinées TRANSPORT	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,TRS_ORD_NUM	15	2006			
DCIR	ER_ETE_F	Informations liées à l'exécution dans un ETABLISSEMENT	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF	26	2006			
DCIR	ER_INV_F	Pension INVALIDITE	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF	13	2006			
DCIR	ER_LOT_F	Table des données de LOT	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,LOT_ORD_NUM	16	2008			
DCIR	ER_PHA_F	Prestations affinées PHARMACIE	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,PHA_ORD_NUM	23	2006			
DCIR	ER_PRS_F	Table principale des PRESTATIONS	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF	133	2006			
DCIR	ER_RAT_F	Rente accident du travail, maladie professionnelle	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,BEN_RAT_ANO	14	2006			
DCIR	ER_TIP_F	Prestations affinées DISPOSITIF MEDICAL	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,TIP_ORD_NUM	21	2006			
DCIR	ER_TRS_F	Table des données détaillées de TRANSPORT	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,ITR_ORD_NUM	25	2008			
DCIR	ER_UCD_F	Prestations Affinées UCD, Pharmacie hospitalière codée et rétrocédée et médicament en sus du GHS	DCT_ORD_NUM,FLX_DIS_DTD,FLX_EMT_NUM,FLX_EMT_ORD,FLX_EMT_TYP,FLX_TRT_DTD,ORG_CLE_NUM,PRS_ORD_NUM,REM_TYP_AFF,UCD_ORD_NUM	24	2007			
PMSI HAD	T_HADaaA	Table des actes		16	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaB	Table des Résumés Anonyme Par Sous-Séquence (RAPSS)	ETA_NUM_EPMSI,RHAD_NUM	76	2006			
PMSI HAD	T_HADaaC	Table des NIR foinisé deux fois et date entrè/sortie complètes	ETA_NUM_EPMSI,RHAD_NUM	44	2006			
PMSI HAD	T_HADaaD	Table des diagnostics associés		8	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaDMPA	Table des diagnostics liés au MPA (mode de prise en charge associé)		8	2012		2006,2007,2008,2009,2010,2011	
PMSI HAD	T_HADaaDMPP	Table des diagnostics liés au MPP (mode de prise en charge principal)		8	2012		2006,2007,2008,2009,2010,2011	
PMSI HAD	T_HADaaE	Table des Etablissements	ETA_NUM	8	2006			
PMSI HAD	T_HADaaEHPA	Table des conventions HAD-EHPA		11	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaFA	Table des RSFA début de facture des établissements ex-OQN		43	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaFB	Table des RSFA facture des établissements ex-OQN		33	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaFC	Table des RSFA des honoraires des établissements ex-OQN		27	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaFH	Table des RSFA des Médicaments en sus des établissements ex-OQN		20	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaFI	Table des RSFA interruption de séjour des établissements ex-OQN		17	2014		2006,2007,2008,2009,2010,2011,2012,2013	
PMSI HAD	T_HADaaFL	Table des actes de biologie (issus de la NABM) des établissements ex-OQN		15	2012		2006,2007,2008,2009,2010,2011	
PMSI HAD	T_HADaaFM	Table des RSFA des actes CCAM des établissements ex-OQN		40	2010		2006,2007,2008,2009	
PMSI HAD	T_HADaaFP	Table des RSFA des LPP/DMI en sus des établissements ex-OQN		19	2014		2006,2007,2008,2009,2010,2011,2012,2013	
PMSI HAD	T_HADaaGJ	Table de passage de Finess		3	2006	2006	2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI HAD	T_HADaaGRE	Table des GHT (groupage établissement)		16	2006			
PMSI HAD	T_HADaaGRP	Table des GHT et des GHPC (groupage paprica)		15	2006			
PMSI HAD	T_HADaaLEG	Fichier donnant toutes les erreurs détectées par la fonction groupage (LEG)		8	2014		2006,2007,2008,2009,2010,2011,2012,2013	
PMSI HAD	T_HADaaMED	Table Molécules onéreuses (fichier COMP)		19	2009		2006,2007,2008	
PMSI HAD	T_HADaaMEDAPAC	Médicaments sous AAP/AAC		18	2022		2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	
PMSI HAD	T_HADaaMEDATU	Fich comp médicament soumis à autorisation temporaire d'utilisation		19	2012	2021	2006,2007,2008,2009,2010,2011,2022,2023,2024	
PMSI HAD	T_HADaaMEDCHL	Fich comp Médicament coûteux hors liste en sus et hors ATU		17	2016		2006,2007,2008,2009,2010,2011,2012,2013,2014,2015	
PMSI HAD	T_HADaaMON	Fichier de déclaration agrégée d'activité (FICHSUP) sur les Molécules onéreuses		11	2008	2008	2006,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI HAD	T_HADaaS	Synthèses des Résumés Anonyme Par Sous-Séquence		16	2015		2006,2007,2008,2009,2010,2011,2012,2013,2014	
PMSI HAD	T_HADaaSTC	Prise en charge par l'AM de chaque séjour, pour les établissements valorisés STC		101	2007		2006	
PMSI HAD	T_HADaaSUP_DSC	Table Tests diagnostiques Covid		8	2021		2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020	
PMSI HAD	T_HADaaSUP_PREADMI	Evaluations anticipées pour les patients résidant en EHPAD		9	2022		2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	
PMSI HAD	T_HADaaVALO	Valorisation		23	2015		2006,2007,2008,2009,2010,2011,2012,2013,2014	
PMSI MCO	T_MCOaaA	Acte		16	2006			
PMSI MCO	T_MCOaaB	Séjour	ETA_NUM,RSA_NUM	109	2006			
PMSI MCO	T_MCOaaBPHN	Table BPHN		16	2010	2010	2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI MCO	T_MCOaaBPHNA	B et P hors nomenclature, nombre de réalisation par code d'actes (fich sup)		8	2010	2014	2006,2007,2008,2009,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI MCO	T_MCOaaBPHNC	B et P hors nomenclature, montants payés par les établissements demandeurs  (fich sup)		7	2010	2014	2006,2007,2008,2009,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI MCO	T_MCOaaBPHNP	Actes hors nomenclature (BPHN) : montants facturés par les établissements producteurs		9	2010	2014	2006,2007,2008,2009,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI MCO	T_MCOaaC	NIR/Date	ETA_NUM,RSA_NUM	45	2006			
PMSI MCO	T_MCOaaCES	Consultations externes spécifiques		18	2014	2014	2006,2007,2008,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	
PMSI MCO	T_MCOaaCSTC	ACE NIR/date	ETA_NUM,SEQ_NUM	45	2008		2006,2007	
PMSI MCO	T_MCOaaD	Diagnostic associé		5	2006			
PMSI MCO	T_MCOaaDIALP	Fich comp dialyse péritonéale		9	2009		2006,2007,2008	
PMSI MCO	T_MCOaaDMIP	Fich comp dmi en sus		13	2008		2006,2007	
PMSI MCO	T_MCOaaE	Etablissement	ETA_NUM	8	2006			
PMSI MCO	T_MCOaaFA	OQN Entete facture	ETA_NUM,RSA_NUM	41	2006			
PMSI MCO	T_MCOaaFASTC	ACE Entete facture	ETA_NUM,SEQ_NUM	49	2007		2006	
PMSI MCO	T_MCOaaFB	OQN Prestation		31	2006			
PMSI MCO	T_MCOaaFBSTC	ACE Prestation	ETA_NUM,SEQ_NUM	27	2008		2006,2007	
PMSI MCO	T_MCOaaFC	OQN Honoraire		26	2006			
PMSI MCO	T_MCOaaFCSTC	ACE Honoraire		34	2007		2006	
PMSI MCO	T_MCOaaFH	OQN med en sus		23	2006			
PMSI MCO	T_MCOaaFHSTC	ACE med en sus		20	2009		2006,2007,2008	
PMSI MCO	T_MCOaaFI	OQN Interruption séjour		14	2006			
PMSI MCO	T_MCOaaFL	Table des actes de biologie (issus de la NABM)		13	2012		2006,2007,2008,2009,2010,2011	
PMSI MCO	T_MCOaaFLSTC	Table des actes de biologie (issus de la NABM)		14	2012		2006,2007,2008,2009,2010,2011	
PMSI MCO	T_MCOaaFM	OQN actes CCAM		39	2006			
PMSI MCO	T_MCOaaFMSTC	ACE actes CCAM		44	2007		2006	
PMSI MCO	T_MCOaaFP	OQN DMI en sus		26	2006			
